Date,Revenue (in million $),Profit (in million $),Stock Price ($),Market Sentiment,Number of New Customers,Customer Retention Rate (%),Expenses (in million $)
2026,344.29,47.0,121.81,Positive,5541,61.5,200.85
2025,214.9,113.15,163.35,Neutral,6641,61.64,138.75
2029,320.93,93.84,118.6,Neutral,7523,85.86,191.07
2029,430.36,52.49,149.62,Positive,9974,68.57,290.4
2023,310.73,17.99,77.64,Neutral,6087,73.93,158.31
2023,395.79,69.68,133.43,Negative,3756,62.99,63.63
2026,423.01,81.22,63.68,Neutral,1889,85.79,227.45
2029,420.06,140.5,242.56,Neutral,9005,67.02,64.98
2032,149.77,144.71,122.48,Neutral,7028,71.63,130.8
2032,461.65,31.91,141.66,Negative,7772,68.67,196.4
2024,166.78,26.96,71.35,Positive,6234,85.12,127.47
2028,128.69,41.75,282.87,Positive,3322,83.44,54.85
2031,463.83,98.74,67.98,Neutral,4416,88.73,69.43
2031,180.25,110.12,128.74,Neutral,3191,64.57,115.99
2031,133.17,96.8,135.06,Negative,5392,74.35,95.16
2028,407.51,47.18,241.81,Positive,1329,69.65,166.37
2032,101.95,141.13,76.57,Positive,3511,74.49,214.84
2031,460.3,140.2,145.89,Neutral,4175,60.11,130.01
2031,191.89,37.94,59.45,Negative,1002,67.88,63.09
2023,209.63,122.16,144.29,Neutral,8060,62.09,64.55
2026,186.14,50.86,93.19,Negative,3731,78.46,152.99
2027,440.2,132.9,187.36,Positive,4144,71.47,120.45
2032,228.23,23.09,156.78,Negative,8024,74.26,129.31
2027,253.09,116.01,126.41,Positive,9333,80.19,61.74
2023,405.32,29.11,107.17,Negative,4374,60.6,238.18
2030,137.24,75.54,271.89,Neutral,8631,72.41,123.2
2023,312.54,65.96,288.43,Negative,5945,68.94,81.62
2023,440.17,68.01,78.1,Neutral,9749,77.31,210.66
2031,318.65,71.05,237.17,Positive,9853,76.1,283.71
2031,437.01,52.45,157.36,Positive,2543,64.72,57.77
2026,420.88,58.83,223.47,Neutral,9529,87.35,136.41
2023,115.52,36.15,257.81,Negative,3130,70.52,144.2
2025,434.36,24.18,218.97,Positive,7265,65.0,201.67
2029,301.71,131.19,110.34,Negative,6938,86.83,107.04
2026,426.72,144.34,248.17,Negative,9812,62.29,233.18
2026,253.39,31.31,216.68,Neutral,2379,77.57,196.69
2024,498.72,31.52,265.74,Positive,9459,77.72,176.44
2031,160.24,140.57,145.76,Positive,2232,74.61,269.56
2027,221.07,75.48,118.2,Neutral,7287,84.08,111.74
2023,261.59,74.42,53.79,Negative,2195,73.1,208.45
2029,235.13,64.33,110.57,Neutral,3402,75.65,53.35
2029,349.27,20.42,175.92,Positive,9515,77.22,209.35
2023,328.44,11.26,114.45,Negative,1780,74.53,212.03
2030,336.05,83.38,120.75,Neutral,8464,89.84,170.5
2023,150.84,59.94,198.12,Neutral,4036,61.31,109.16
2023,487.1,55.02,299.56,Negative,4406,62.01,57.05
2032,311.22,145.72,231.0,Positive,6873,80.65,89.61
2027,463.23,122.61,66.46,Neutral,9283,63.4,243.22
2030,313.61,133.12,152.51,Neutral,3720,62.11,119.54
2024,478.05,49.57,165.22,Neutral,9221,64.87,171.61
2032,467.1,37.64,296.03,Positive,8436,83.23,214.05
2027,409.87,47.07,283.4,Negative,1773,75.17,69.29
2026,362.25,43.5,120.13,Neutral,5287,77.53,177.13
2028,225.77,91.34,232.47,Neutral,6329,78.88,224.83
2031,344.41,97.39,83.01,Neutral,2879,87.15,254.46
2025,251.34,114.96,74.2,Neutral,4756,89.75,242.61
2026,300.58,42.71,152.39,Positive,5218,83.14,107.03
2025,337.03,63.19,175.48,Neutral,9903,76.8,171.6
2028,403.02,123.37,271.65,Positive,8986,73.97,116.27
2025,247.61,28.97,179.6,Neutral,4240,68.8,172.67
2029,404.12,68.85,285.89,Neutral,8727,62.14,263.56
2031,344.66,89.2,228.68,Negative,1986,76.46,293.35
2032,458.03,146.09,264.83,Positive,4081,76.32,134.64
2031,345.27,131.63,215.48,Negative,2559,83.39,55.61
2026,312.77,49.83,61.77,Negative,7310,85.88,90.73
2030,228.98,71.63,258.3,Neutral,5490,69.62,188.08
2026,492.85,147.62,281.24,Positive,9330,69.77,254.25
2028,100.16,122.82,69.81,Negative,8002,71.59,171.21
2032,228.28,144.95,210.39,Negative,3985,72.91,268.75
2027,137.82,116.17,201.5,Neutral,9652,64.21,205.64
2031,301.63,86.28,120.88,Negative,5151,85.27,230.59
2028,142.45,78.99,90.18,Neutral,3096,79.6,137.26
2024,355.75,28.07,157.58,Positive,5939,62.16,114.17
2031,292.01,66.34,87.86,Neutral,5512,69.1,140.65
2028,367.4,146.17,201.71,Neutral,5183,88.47,111.5
2023,343.08,66.37,101.96,Negative,3108,82.14,97.28
2031,175.35,17.87,70.18,Positive,8939,68.06,213.56
2026,258.51,107.14,172.33,Positive,8069,63.69,204.89
2027,382.66,141.69,132.33,Positive,8714,74.89,186.12
2032,130.4,105.03,94.02,Neutral,3709,81.18,108.55
2023,361.91,64.61,98.64,Neutral,7604,75.44,76.43
2024,307.67,51.73,155.63,Positive,2848,67.89,90.9
2026,200.39,105.68,220.97,Neutral,5711,83.34,260.33
2024,374.97,55.56,73.68,Negative,2440,70.46,230.45
2027,124.64,32.75,273.76,Neutral,4888,69.04,206.5
2029,287.62,80.62,196.27,Negative,6890,89.12,93.93
2023,135.81,70.73,138.95,Positive,3580,69.15,221.98
2026,219.55,37.02,79.05,Negative,2860,65.64,213.28
2026,287.67,61.48,75.15,Negative,7327,81.09,104.03
2027,272.66,124.46,260.74,Negative,8972,85.82,51.36
2026,150.96,99.5,68.79,Neutral,7129,79.34,134.92
2025,436.95,116.48,92.05,Positive,8338,65.85,273.15
2032,207.15,94.56,267.83,Negative,2782,78.23,151.18
2028,202.84,77.12,141.82,Positive,8034,71.05,143.36
2028,434.65,101.11,203.54,Positive,7468,61.15,267.7
2031,333.03,107.84,263.47,Neutral,6672,86.15,161.68
2024,121.68,111.57,70.26,Positive,4041,72.63,290.35
2025,453.5,140.67,264.69,Positive,7806,77.08,265.28
2030,341.43,80.51,266.77,Positive,5019,75.19,292.88
2031,151.91,87.95,286.59,Negative,7655,78.2,282.61
2026,189.75,79.14,290.4,Neutral,6206,74.65,134.43
2032,195.68,120.18,64.1,Negative,7249,76.81,232.15
2025,389.36,48.37,261.49,Neutral,1710,68.17,146.04
2031,189.83,80.03,260.11,Positive,5262,65.87,256.69
2027,257.47,36.86,65.3,Neutral,4561,82.45,290.33
2023,411.81,45.36,257.41,Negative,6969,72.27,215.49
2030,312.28,45.73,218.91,Negative,5268,66.99,193.41
2030,111.43,98.32,137.4,Negative,9572,86.82,279.97
2031,428.26,15.28,141.79,Neutral,1544,82.39,52.09
2026,332.32,110.01,279.16,Positive,4858,71.83,50.32
2031,382.26,78.49,145.73,Neutral,2146,78.25,161.09
2031,436.0,111.49,273.69,Neutral,2461,66.28,52.94
2031,393.94,52.64,94.01,Neutral,8028,69.38,278.61
2031,439.06,118.02,270.22,Positive,3484,65.37,275.48
2028,289.15,15.47,209.64,Positive,8743,88.85,97.37
2030,326.35,32.01,222.66,Positive,4285,79.52,272.42
2031,262.44,25.77,194.22,Positive,2040,75.82,271.59
2027,366.94,16.14,131.66,Positive,6052,61.69,55.97
2031,489.74,16.48,138.94,Positive,4683,74.51,221.36
2030,108.02,134.67,192.32,Negative,2728,82.6,229.08
2031,356.91,15.37,205.37,Positive,7212,75.01,139.38
2031,112.58,111.71,258.95,Positive,7476,83.09,190.34
2030,311.12,82.47,194.47,Negative,2284,62.21,63.36
2025,168.98,91.15,188.88,Negative,9733,83.04,236.81
2023,348.33,110.66,192.38,Positive,6266,86.47,195.6
2023,371.25,68.02,222.38,Positive,2100,89.9,237.7
2029,242.12,16.88,57.76,Negative,5995,74.39,53.96
2031,113.37,61.35,109.27,Neutral,9009,62.17,288.53
2028,468.92,69.63,296.38,Neutral,5114,65.32,77.41
2024,155.89,23.46,156.14,Negative,7250,84.19,94.91
2030,254.07,57.82,268.65,Positive,4540,75.49,231.74
2030,131.48,94.53,90.98,Neutral,9370,73.9,199.86
2031,118.57,11.92,280.35,Positive,4659,80.64,82.05
2028,198.88,114.77,115.51,Positive,6137,86.75,99.11
2030,330.87,141.07,266.67,Negative,9720,75.84,246.98
2025,141.18,110.66,175.97,Positive,1832,68.96,280.94
2025,110.3,57.75,250.83,Negative,1684,75.55,163.88
2030,215.32,99.38,121.7,Negative,2709,71.99,263.11
2027,332.57,86.85,104.83,Neutral,2538,88.02,100.85
2028,442.33,105.33,96.64,Positive,6263,84.02,163.47
2032,226.09,26.14,76.75,Neutral,9209,67.71,55.23
2031,266.09,96.11,170.3,Positive,2892,77.6,206.09
2029,462.38,89.35,138.61,Positive,5833,72.36,231.89
2027,441.9,140.14,96.05,Positive,9216,72.16,81.38
2026,114.31,83.95,215.47,Negative,7884,87.18,259.64
2031,327.33,71.53,66.81,Neutral,5023,84.62,203.64
2025,446.57,14.67,278.2,Positive,4037,79.37,112.52
2030,304.92,28.93,192.75,Negative,1889,68.7,53.63
2030,350.9,54.29,293.29,Neutral,8025,70.37,139.46
2029,339.88,118.71,237.29,Negative,6008,76.07,185.9
2024,274.29,41.4,147.16,Neutral,5261,82.4,73.46
2030,455.13,24.65,255.66,Negative,8313,69.5,150.04
2023,301.43,122.23,160.38,Neutral,6403,86.9,295.67
2027,453.97,90.78,105.29,Negative,4030,84.09,61.04
2025,223.82,50.92,252.77,Negative,5330,80.08,233.11
2023,371.89,95.26,242.25,Neutral,7572,63.41,152.74
2023,274.5,146.07,59.39,Negative,8218,69.42,208.37
2024,445.4,118.15,92.21,Neutral,7852,69.72,294.36
2028,278.04,25.84,137.84,Positive,9655,61.45,190.81
2028,460.5,32.95,145.35,Positive,5253,89.76,247.44
2025,211.55,143.03,65.82,Negative,9741,86.81,182.45
2024,451.97,149.96,111.02,Neutral,7854,77.59,115.31
2029,287.38,93.76,57.74,Positive,5765,78.12,283.95
2027,493.06,99.19,90.41,Negative,2145,75.49,88.44
2031,264.32,12.57,117.63,Neutral,5292,66.33,222.07
2030,223.89,77.59,130.77,Positive,7204,83.77,259.66
2031,374.75,137.86,202.15,Neutral,9104,88.83,206.85
2025,282.13,137.18,76.12,Neutral,2897,70.36,297.76
2030,327.39,60.92,239.13,Positive,8255,80.22,64.12
2026,437.21,65.84,180.53,Negative,6319,74.2,204.43
2032,389.18,38.87,112.46,Neutral,7172,73.63,236.29
2024,430.49,41.87,181.11,Neutral,7026,70.6,210.55
2032,417.56,132.42,262.75,Negative,1081,68.07,252.97
2029,491.89,47.56,60.24,Negative,7651,82.32,251.45
2025,288.64,109.54,159.76,Negative,8192,81.18,277.91
2023,243.35,35.65,210.69,Neutral,2830,78.95,114.28
2027,486.26,12.08,170.28,Positive,1144,66.28,110.22
2024,386.17,19.68,132.8,Positive,5053,76.65,232.6
2032,247.9,78.05,128.45,Positive,5027,66.41,76.38
2026,364.29,143.08,232.42,Neutral,2359,86.53,265.67
2026,334.35,146.65,183.08,Positive,1770,62.49,97.76
2023,199.03,123.03,240.75,Positive,7890,84.04,201.1
2025,271.17,37.65,206.66,Neutral,3575,83.59,54.52
2028,232.41,113.64,128.19,Negative,8989,75.9,122.5
2027,371.66,147.89,57.21,Negative,2437,63.81,283.4
2026,193.44,118.97,202.14,Positive,5541,71.21,220.37
2027,224.23,96.2,222.74,Negative,6327,63.61,225.88
2025,114.48,87.16,227.17,Neutral,7334,69.16,245.31
2031,196.64,104.11,99.19,Negative,4631,63.17,226.64
2025,384.8,63.89,150.57,Negative,5276,74.4,172.85
2023,292.38,62.68,140.8,Negative,1442,78.58,212.72
2032,294.56,51.78,209.52,Neutral,2031,65.94,83.53
2030,137.91,10.95,88.24,Negative,2291,64.48,110.25
2032,232.12,12.76,83.8,Neutral,8972,63.61,107.68
2028,226.67,104.82,122.4,Negative,5997,60.09,282.72
2027,250.9,102.97,113.77,Positive,1318,74.03,268.73
2026,492.39,139.72,274.53,Positive,6935,75.2,190.71
2032,491.46,111.72,282.18,Positive,2973,64.89,112.3
2023,167.3,91.43,293.86,Negative,5858,75.75,100.75
2027,310.7,55.4,77.76,Positive,8236,63.05,62.29
2025,384.07,104.83,56.11,Positive,6828,70.8,216.95
2025,465.28,121.69,280.36,Neutral,2809,66.13,111.8
2032,141.35,35.29,82.51,Positive,7711,74.93,169.01
2025,105.58,102.0,141.27,Positive,8494,61.88,253.87
2029,153.5,134.0,212.31,Neutral,2746,61.01,85.28
2023,171.72,41.61,56.28,Negative,8910,84.31,249.21
2032,368.91,135.65,161.79,Neutral,9867,62.13,97.34
2032,347.08,100.22,57.08,Positive,6932,83.65,114.76
2028,185.94,15.65,100.28,Neutral,7386,70.13,154.61
2025,346.58,148.03,209.99,Neutral,3169,87.9,145.35
2031,398.7,130.09,173.75,Negative,4544,80.89,101.52
2027,126.0,125.54,81.49,Positive,1039,73.94,236.09
2028,271.47,27.74,191.57,Positive,5606,68.54,92.5
2023,285.05,119.91,255.39,Positive,3511,74.03,292.02
2028,113.13,75.5,211.66,Neutral,8283,85.57,187.1
2028,239.21,134.9,167.62,Negative,5952,89.99,260.83
2026,104.14,97.66,225.98,Neutral,6032,83.7,204.59
2028,125.14,76.65,222.31,Positive,7609,77.42,147.03
2032,210.94,80.03,90.15,Negative,3577,69.72,196.78
2029,441.02,46.11,172.88,Positive,2387,62.71,201.5
2028,487.82,114.48,93.9,Negative,8843,77.69,162.48
2030,422.88,61.38,129.25,Negative,4628,85.39,139.09
2026,440.31,69.35,66.62,Neutral,6315,89.42,137.57
2029,404.51,143.73,271.93,Negative,4279,82.38,144.57
2026,201.46,41.93,52.88,Negative,2074,80.94,50.39
2023,112.15,109.79,61.56,Positive,7103,72.6,97.96
2026,108.85,99.7,153.48,Neutral,6914,66.21,213.51
2031,204.03,92.28,115.33,Neutral,7319,63.52,246.42
2029,458.59,99.07,232.67,Positive,2480,87.36,234.74
2032,252.79,143.95,132.49,Negative,2758,82.77,183.17
2027,201.07,71.15,180.05,Negative,5406,66.6,120.48
2026,168.44,132.26,226.23,Neutral,6397,79.5,213.41
2028,296.0,25.46,154.88,Positive,5267,64.1,241.01
2031,192.63,35.37,252.58,Positive,4495,88.23,266.87
2023,491.2,149.2,188.9,Negative,1258,72.73,127.33
2028,470.8,103.12,222.71,Neutral,1784,77.89,278.99
2023,174.21,101.24,228.15,Neutral,1068,64.46,153.49
2027,469.32,74.02,261.55,Negative,1573,83.82,215.34
2029,314.97,13.15,161.03,Positive,3196,79.05,277.39
2027,256.01,66.92,194.24,Neutral,5526,65.3,121.34
2027,288.3,132.94,196.46,Positive,7629,84.13,214.79
2029,234.13,124.22,250.64,Negative,6340,62.87,278.65
2023,265.28,66.79,219.89,Negative,5329,77.81,243.01
2031,168.21,135.64,214.04,Negative,8210,76.26,279.76
2027,225.83,38.29,288.16,Positive,2525,65.24,99.66
2025,499.73,47.52,132.2,Positive,4464,61.85,117.49
2025,225.07,24.83,54.66,Positive,6430,86.21,240.7
2027,315.17,53.36,86.26,Neutral,4331,78.04,213.86
2027,126.52,61.35,150.68,Negative,6913,74.91,238.2
2032,451.76,78.28,207.66,Negative,5200,74.64,88.7
2031,267.25,137.54,298.29,Neutral,9125,71.83,295.28
2032,139.08,12.1,90.28,Positive,5155,65.4,175.64
2025,354.57,126.78,249.94,Positive,7041,68.5,221.69
2032,188.6,14.87,152.31,Neutral,5898,84.27,250.09
2032,301.95,134.19,139.54,Positive,8391,68.26,116.26
2031,298.56,52.84,281.8,Positive,7393,66.41,99.24
2025,484.29,79.94,78.02,Positive,9444,74.37,274.25
2032,162.3,133.26,158.43,Neutral,3322,61.07,174.49
2030,484.41,11.83,92.93,Negative,9401,84.32,286.79
2032,304.98,86.43,58.57,Negative,6604,87.13,299.72
2023,234.77,91.97,128.91,Neutral,1100,78.19,180.94
2032,363.31,46.93,53.02,Neutral,4536,71.29,65.79
2030,288.47,90.28,281.98,Neutral,1107,75.13,236.01
2028,127.12,111.3,251.49,Neutral,1559,72.8,272.28
2030,125.55,14.43,114.63,Positive,6411,69.4,238.42
2023,477.04,126.51,205.85,Positive,4065,68.52,94.02
2030,422.56,81.43,294.36,Positive,8963,73.44,80.19
2027,215.02,32.44,120.54,Negative,2665,82.02,57.69
2031,159.82,24.54,80.89,Negative,6633,82.44,99.23
2023,169.43,144.1,263.65,Neutral,9823,82.19,154.41
2029,107.84,103.99,180.79,Positive,4955,64.93,251.03
2023,110.52,46.54,184.52,Negative,8380,85.39,172.61
2028,264.56,142.68,81.59,Neutral,9776,68.36,242.9
2032,424.79,54.73,90.89,Positive,1814,74.15,173.95
2025,173.97,25.9,135.38,Positive,8013,78.83,139.1
2026,261.42,29.18,176.69,Positive,7201,74.3,240.9
2030,235.6,30.57,188.04,Neutral,3180,75.66,88.84
2029,260.78,128.4,136.57,Positive,6664,81.28,196.55
2026,225.62,74.34,109.2,Neutral,7213,63.82,68.09
2028,154.69,68.34,146.36,Positive,7341,85.26,195.86
2025,264.28,110.86,177.88,Negative,6055,75.09,196.06
2027,119.66,90.29,263.41,Neutral,1124,86.29,54.76
2024,174.16,81.68,298.06,Positive,2801,87.6,167.57
2029,157.67,138.84,160.19,Negative,8076,61.93,193.57
2031,281.69,43.43,258.89,Neutral,4957,84.73,230.9
2027,267.2,89.18,212.27,Negative,1510,64.02,217.88
2027,466.72,88.42,88.46,Negative,7446,71.21,103.58
2023,473.29,141.37,278.54,Negative,3063,70.69,51.82
2028,379.25,53.54,74.92,Neutral,9609,65.24,262.2
2029,339.43,80.4,62.97,Positive,6718,75.82,131.26
2024,465.03,119.27,238.86,Negative,9269,79.14,207.18
2031,159.1,69.94,98.93,Neutral,5861,74.49,178.52
2023,393.99,25.47,265.53,Negative,3072,84.84,89.38
2023,102.37,92.94,261.85,Neutral,7634,71.81,106.86
2024,142.92,38.85,86.89,Positive,9711,71.68,128.34
2026,256.03,130.9,282.32,Positive,7227,68.34,149.64
2029,102.13,89.07,134.8,Neutral,6289,76.86,103.56
2032,441.27,47.04,179.88,Positive,3160,77.76,234.07
2028,270.23,86.93,219.6,Negative,3368,71.82,116.33
2023,321.73,56.02,230.11,Negative,6531,67.87,239.93
2030,354.98,87.48,52.85,Negative,2613,85.07,222.06
2027,335.08,45.31,100.93,Positive,7998,78.75,74.15
2027,166.15,146.88,76.98,Neutral,2614,67.52,222.43
2024,323.67,84.5,150.58,Positive,6733,87.83,164.57
2025,120.91,45.48,68.56,Negative,5960,77.96,123.14
2032,209.02,132.02,171.25,Negative,1730,71.46,191.08
2028,247.23,27.51,60.37,Neutral,7553,70.92,258.32
2026,308.23,64.85,194.28,Neutral,1908,79.02,296.16
2030,271.89,69.48,154.26,Positive,8989,71.92,192.83
2026,496.68,139.86,126.93,Negative,9945,85.19,299.29
2023,243.11,141.83,227.78,Neutral,5694,77.43,286.06
2030,409.95,64.98,176.1,Negative,4909,67.6,176.26
2031,443.06,47.27,178.63,Negative,4442,71.1,235.19
2029,118.05,140.68,226.37,Neutral,3655,83.84,236.94
2032,393.45,97.5,263.5,Negative,5735,61.04,75.52
2032,380.87,81.85,268.03,Positive,2919,88.1,144.55
2030,309.08,32.13,81.18,Negative,4909,70.53,282.63
2023,273.12,79.03,116.4,Neutral,6212,84.08,109.73
2023,349.56,88.75,150.53,Negative,6767,76.52,112.65
2023,452.1,144.53,273.25,Negative,6487,78.03,227.45
2026,200.0,84.92,222.4,Neutral,7793,83.3,188.06
2032,290.03,121.06,139.97,Neutral,3809,77.88,57.84
2027,393.57,67.55,138.78,Positive,8292,85.02,246.13
2032,298.86,28.87,174.02,Positive,8849,66.31,129.56
2027,322.77,25.15,283.33,Neutral,8207,66.57,174.14
2032,441.58,34.11,117.74,Positive,4718,73.15,57.57
2023,209.57,37.98,107.96,Negative,7575,76.89,51.44
2023,176.6,33.42,95.3,Neutral,5722,66.81,127.71
2023,425.68,136.56,53.91,Neutral,4355,74.43,101.51
2030,395.51,144.39,219.64,Positive,3398,86.31,81.51
2030,290.54,140.6,69.02,Neutral,4650,80.61,247.98
2028,463.57,141.88,66.08,Negative,2482,69.88,184.22
2025,198.79,120.58,208.63,Neutral,7339,75.96,116.59
2028,280.56,80.2,180.21,Negative,2832,63.61,74.63
2026,471.17,73.57,233.62,Negative,6543,60.57,75.13
2027,265.79,12.07,260.26,Negative,1158,74.68,162.57
2027,313.75,126.57,150.46,Negative,3526,86.3,104.08
2025,402.96,59.97,297.38,Neutral,3419,73.61,176.73
2025,232.32,35.01,241.33,Negative,3570,77.0,289.33
2032,215.67,53.37,180.47,Negative,4510,62.3,252.63
2026,216.11,85.77,55.93,Neutral,9015,72.54,285.73
2031,473.92,127.73,210.92,Neutral,8422,66.65,178.01
2024,329.46,72.27,217.12,Positive,1325,84.04,285.86
2026,110.55,120.77,114.66,Negative,3631,61.92,94.88
2032,297.41,133.29,149.31,Positive,3341,81.38,188.75
2032,322.11,23.99,251.25,Positive,6127,79.46,231.35
2024,346.49,79.84,297.3,Negative,2242,62.23,294.34
2025,183.21,57.28,252.42,Negative,2440,73.24,229.12
2031,247.62,111.09,93.55,Neutral,3945,80.86,135.96
2030,316.6,128.08,240.44,Neutral,3218,78.13,269.96
2031,360.48,129.88,78.1,Neutral,1615,86.29,100.41
2027,415.25,126.97,90.66,Neutral,1944,65.66,78.37
2031,267.7,37.16,121.21,Negative,9625,75.94,251.4
2032,332.55,119.31,97.94,Negative,3567,74.79,191.03
2025,263.78,132.68,124.49,Positive,5210,69.02,194.52
2023,345.86,16.59,269.78,Negative,6612,73.86,187.29
2027,332.02,110.76,73.56,Neutral,3406,60.24,52.31
2023,151.61,83.71,148.93,Negative,4674,85.25,52.76
2032,105.04,23.44,124.27,Positive,2878,75.25,89.34
2031,121.06,18.3,126.33,Positive,7412,77.95,116.1
2028,433.65,11.14,103.26,Neutral,7412,88.47,244.3
2027,437.68,70.54,257.17,Neutral,4046,70.63,215.41
2028,219.0,51.49,231.39,Neutral,1815,73.69,146.45
2029,488.87,12.0,200.33,Neutral,7324,64.53,248.17
2030,350.5,30.49,97.23,Positive,8433,71.41,267.82
2023,496.07,20.62,215.45,Positive,1131,74.61,253.3
2031,386.23,111.02,120.6,Positive,2558,69.51,231.27
2023,182.79,138.55,253.8,Negative,2088,68.4,76.49
2025,216.49,95.99,251.08,Negative,4414,62.47,50.68
2026,139.89,60.87,175.34,Negative,7724,65.08,258.0
2027,333.56,39.37,68.53,Neutral,9596,78.47,73.76
2028,322.74,140.06,144.49,Neutral,9078,62.66,202.25
2028,335.0,18.63,289.64,Negative,5177,80.95,205.94
2026,287.77,110.85,182.36,Neutral,3675,69.67,202.6
2029,432.9,49.85,140.84,Positive,4275,89.37,93.1
2031,479.63,20.96,283.35,Positive,5764,85.34,154.6
2025,341.65,103.9,200.63,Negative,5316,65.6,136.49
2029,414.62,32.31,61.02,Positive,9722,63.47,286.57
2024,223.99,140.56,112.12,Positive,7569,68.25,176.79
2024,334.73,126.59,68.07,Negative,3708,79.84,227.48
2032,348.33,134.74,174.04,Negative,4342,72.06,75.6
2024,182.58,106.23,138.11,Neutral,1942,82.28,62.71
2032,481.16,66.76,134.3,Negative,9140,88.31,251.05
2030,304.3,73.7,241.79,Positive,5169,73.38,106.17
2024,258.76,46.81,143.87,Neutral,7804,70.29,110.48
2031,308.0,120.31,106.96,Negative,4132,70.75,256.96
2026,297.4,38.75,234.31,Positive,7487,72.13,162.37
2023,440.11,108.89,122.62,Neutral,9824,87.64,155.77
2025,255.86,113.82,146.61,Negative,4759,86.17,61.9
2030,163.3,107.35,76.43,Negative,9649,65.97,284.09
2032,275.11,13.03,170.9,Positive,7439,69.65,83.04
2028,164.89,68.29,258.25,Positive,9966,69.54,182.99
2023,164.76,44.9,106.22,Positive,9471,76.88,286.24
2029,356.67,124.42,190.06,Neutral,2059,67.88,59.81
2028,147.22,17.88,153.0,Positive,7748,77.33,178.77
2025,255.18,32.39,149.54,Neutral,8854,75.4,196.79
2026,231.57,81.16,55.99,Positive,1909,84.6,188.49
2032,284.94,67.77,114.11,Positive,3288,63.28,214.96
2024,406.87,38.97,275.06,Negative,9938,72.03,101.69
2029,186.0,110.19,250.01,Positive,8253,88.98,285.41
2032,299.99,29.73,104.48,Positive,9831,66.79,170.18
2027,106.97,112.75,68.4,Positive,1394,83.79,83.16
2032,385.63,113.03,84.57,Neutral,2787,84.63,101.12
2028,152.35,74.06,117.07,Negative,1747,69.41,259.68
2025,341.85,106.09,54.59,Negative,6506,79.13,52.34
2026,282.98,82.48,257.96,Negative,6417,70.47,217.58
2031,473.11,58.33,76.62,Negative,5729,83.05,105.41
2025,197.09,148.83,99.35,Positive,8092,87.76,86.72
2029,478.99,133.84,103.64,Negative,3181,82.66,116.77
2030,406.41,57.43,93.91,Negative,3679,83.82,166.21
2030,202.71,14.88,152.57,Positive,7571,61.24,157.91
2031,316.94,117.58,72.3,Negative,8111,75.06,55.0
2031,405.2,91.84,59.53,Positive,2565,81.36,267.24
2031,230.98,29.02,109.23,Positive,3269,89.14,166.6
2031,323.95,120.55,234.7,Neutral,4212,89.59,183.4
2026,364.55,14.49,70.8,Neutral,5260,80.9,199.01
2025,300.69,48.46,212.16,Positive,5052,80.36,99.6
2025,491.99,133.5,193.72,Positive,8041,72.28,273.85
2023,341.45,138.3,62.51,Positive,2856,83.68,139.63
2025,414.9,67.22,255.84,Negative,7219,83.7,253.8
2031,247.06,92.75,175.94,Negative,7997,75.83,233.98
2028,447.74,77.66,133.99,Negative,1965,72.01,141.62
2031,366.2,146.97,232.1,Positive,6773,70.05,58.63
2030,407.38,38.74,228.05,Neutral,5053,77.97,72.23
2031,267.35,119.0,233.6,Neutral,9656,84.67,190.67
2028,474.46,17.69,218.35,Neutral,6150,84.12,96.01
2029,186.19,38.05,297.63,Negative,3331,82.45,248.52
2032,329.31,40.83,265.55,Positive,6283,72.43,168.39
2027,471.98,58.09,290.87,Positive,3357,78.92,194.96
2030,107.34,27.87,238.56,Neutral,3745,88.15,80.63
2023,246.85,137.08,126.16,Positive,8008,78.42,182.98
2025,331.57,100.6,221.72,Negative,6280,63.09,106.86
2029,481.07,64.06,246.73,Positive,9271,86.24,237.3
2023,179.57,21.16,259.26,Positive,9503,69.93,117.45
2024,276.06,81.74,218.18,Negative,8017,64.99,137.37
2032,389.29,122.22,247.93,Negative,5588,83.6,242.48
2032,319.99,78.85,191.36,Positive,7118,65.33,125.93
2024,126.65,146.65,289.25,Negative,4688,73.3,96.56
2025,255.91,64.98,204.01,Negative,5035,77.38,216.28
2028,463.93,131.86,189.56,Negative,6613,80.26,130.91
2029,280.15,55.52,167.78,Positive,1965,63.74,264.41
2030,383.27,70.97,112.56,Negative,1863,69.99,94.04
2025,446.28,14.5,210.97,Positive,8189,81.87,281.95
2024,301.28,11.97,51.74,Neutral,1244,63.02,115.05
2032,399.69,141.09,197.9,Negative,9481,61.03,225.58
2029,331.75,38.32,117.56,Positive,3800,89.27,204.07
2023,483.75,39.14,127.8,Neutral,3853,87.66,85.19
2025,219.84,97.24,167.32,Neutral,9391,71.03,56.36
2025,494.08,123.39,165.05,Positive,2764,75.36,84.23
2032,279.05,118.53,181.69,Positive,4460,67.74,59.44
2027,343.41,108.39,163.19,Neutral,8635,82.56,175.89
2029,474.54,123.03,208.9,Neutral,5227,89.49,118.53
2026,353.21,90.96,114.81,Neutral,6353,60.64,137.0
2030,298.81,14.49,203.08,Neutral,8248,72.5,239.32
2023,360.1,53.75,137.01,Positive,8450,84.84,145.71
2032,206.2,52.36,117.2,Neutral,3163,78.21,172.19
2029,235.1,108.42,105.65,Negative,2128,80.26,208.33
2023,322.42,49.88,56.06,Positive,5173,67.58,217.24
2028,466.37,144.14,52.63,Neutral,6984,80.49,210.88
